Title,Cuisine,Cooking Time (mins),Ingredients,Description
Taco Salad,Middle Eastern,35,"Flour, tomatoes, mozzarella, basil, olive oil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Lasagna,West African,93,"Chicken, butter, cream, tomatoes, spices","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Tempura,West African,28,"Coconut milk, green curry paste, chicken, basil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Dal Tadka,Italian,55,"Shrimp, flour, eggs, tempura sauce","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Taco Salad,Russian,52,"Lentils, garlic, tomatoes, cumin, mustard seeds","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Pizza Margherita,Italian,78,"Yam flour, water","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Kung Pao Chicken,West African,85,"Lentils, garlic, tomatoes, cumin, mustard seeds","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Ramen,Russian,24,"Shrimp, lemongrass, lime leaves, chili, broth","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Butter Chicken,Italian,32,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Borscht,Japanese,105,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Shakshuka,Italian,20,"Flour, butter, sugar, eggs, yeast","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Shakshuka,West African,92,"Noodles, broth, pork, egg, green onions","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Taco Salad,Russian,26,"Egusi seeds, spinach, stockfish, palm oil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Pizza Margherita,Thai,75,"Pasta, tomato sauce, cheese, ground beef, basil","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Dal Tadka,West African,81,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Sweet and Sour Chicken,West African,25,"Flour, butter, sugar, eggs, yeast","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Hummus,Mexican,72,"Flour, butter, sugar, eggs, yeast",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pounded Yam,Chinese,119,"Flour, butter, sugar, eggs, yeast","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Pelmeni,Chinese,64,"Pasta, tomato sauce, cheese, ground beef, basil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Pelmeni,Italian,33,"Lentils, garlic, tomatoes, cumin, mustard seeds","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Pounded Yam,West African,70,"Pasta, tomato sauce, cheese, ground beef, basil","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Shakshuka,Mexican,74,"Shrimp, lemongrass, lime leaves, chili, broth","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Pelmeni,Mexican,39,"Coconut milk, green curry paste, chicken, basil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Pounded Yam,Italian,108,"Ground beef, lettuce, cheese, salsa, tortilla chips","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Burrito,Mexican,58,"Shrimp, lemongrass, lime leaves, chili, broth","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Dal Tadka,Mexican,49,"Chicken, butter, cream, tomatoes, spices",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Hummus,Italian,117,"Chickpeas, tahini, lemon, garlic, olive oil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Pelmeni,West African,11,"Noodles, broth, pork, egg, green onions","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Dal Tadka,Indian,30,"Eggplant, zucchini, bell peppers, tomatoes, herbs",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Borscht,Italian,38,"Beetroot, cabbage, potatoes, carrots, dill","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Egusi Soup,Indian,98,"Pasta, tomato sauce, cheese, ground beef, basil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Croissant,Middle Eastern,113,"Chicken, peanuts, chili peppers, soy sauce","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Pizza Margherita,Thai,48,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Taco Salad,Mexican,114,"Lentils, garlic, tomatoes, cumin, mustard seeds","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Sweet and Sour Chicken,Chinese,112,"Shrimp, lemongrass, lime leaves, chili, broth","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Hummus,Italian,69,"Yam flour, water","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Pounded Yam,Thai,12,"Beetroot, cabbage, potatoes, carrots, dill","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Egusi Soup,Chinese,19,"Chickpeas, tahini, lemon, garlic, olive oil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Ramen,West African,72,"Noodles, broth, pork, egg, green onions","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Tom Yum Soup,Chinese,22,"Eggplant, zucchini, bell peppers, tomatoes, herbs","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Sweet and Sour Chicken,Mexican,27,"Chicken, butter, cream, tomatoes, spices","Preheat oven to 375°F (190°C). Grease a baking dish with 1 tablespoon of butter. In a bowl, mix 2 cups of flour, 1 teaspoon of baking powder, and 1/2 teaspoon of salt. In another bowl, whisk 1 cup of milk, 1 egg, and 1/2 cup of sugar. Combine wet and dry ingredients, pour into the baking dish, and bake for 25 minutes."
Pelmeni,West African,63,"Egusi seeds, spinach, stockfish, palm oil","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Burrito,Mexican,48,"Shrimp, flour, eggs, tempura sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Kung Pao Chicken,Thai,59,"Coconut milk, green curry paste, chicken, basil","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Ramen,Thai,20,"Lentils, garlic, tomatoes, cumin, mustard seeds","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ramen,Mexican,11,"Chicken, butter, cream, tomatoes, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Shakshuka,Thai,68,"Flour, butter, sugar, eggs, yeast","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Sweet and Sour Chicken,Middle Eastern,73,"Tomatoes, eggs, onions, bell peppers, spices","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Kung Pao Chicken,Chinese,101,"Eggplant, zucchini, bell peppers, tomatoes, herbs","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Ratatouille,Russian,76,"Flour, tomatoes, mozzarella, basil, olive oil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Croissant,Mexican,86,"Shrimp, lemongrass, lime leaves, chili, broth","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Egusi Soup,French,43,"Tortilla, beans, rice, cheese, chicken","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Kung Pao Chicken,Mexican,62,"Noodles, broth, pork, egg, green onions","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Taco Salad,Thai,43,"Chicken, butter, cream, tomatoes, spices","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Croissant,West African,102,"Pasta, tomato sauce, cheese, ground beef, basil","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Ramen,West African,36,"Ground beef, lettuce, cheese, salsa, tortilla chips","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Hummus,Mexican,47,"Chicken, peanuts, chili peppers, soy sauce","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Butter Chicken,Italian,27,"Tomatoes, eggs, onions, bell peppers, spices","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Tempura,West African,92,"Pasta, tomato sauce, cheese, ground beef, basil","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Shakshuka,Italian,97,"Egusi seeds, spinach, stockfish, palm oil","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Kung Pao Chicken,West African,22,"Chicken, peanuts, chili peppers, soy sauce","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Kung Pao Chicken,Japanese,76,"Chicken, peanuts, chili peppers, soy sauce","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Ratatouille,Middle Eastern,35,"Flour, butter, sugar, eggs, yeast","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Pelmeni,Japanese,37,"Beetroot, cabbage, potatoes, carrots, dill",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Pelmeni,Mexican,61,"Lentils, garlic, tomatoes, cumin, mustard seeds","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Tempura,Chinese,66,"Flour, tomatoes, mozzarella, basil, olive oil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Pizza Margherita,Middle Eastern,88,"Coconut milk, green curry paste, chicken, basil","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Burrito,Indian,97,"Pasta, tomato sauce, cheese, ground beef, basil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Green Curry,Thai,118,"Ground beef, lettuce, cheese, salsa, tortilla chips","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Lasagna,West African,90,"Pasta, tomato sauce, cheese, ground beef, basil","Heat a pan over medium heat. Add 2 tablespoons of oil. Sauté 1 chopped onion until golden. Add 2 cloves of minced garlic and cook for 1 minute. Stir in 1 teaspoon of salt, 1/2 teaspoon of pepper, and 1 teaspoon of paprika. Add 1 pound of chicken and cook until browned. Pour in 2 cups of broth and simmer for 20 minutes."
Taco Salad,Japanese,84,"Ground beef, lettuce, cheese, salsa, tortilla chips","Heat 3 tablespoons of oil in a pan. Add 1 sliced bell pepper and 1 diced tomato. Cook for 5 minutes. Add 1 cup of chopped chicken, 1 teaspoon of cumin, and 1/2 teaspoon of chili powder. Stir well and cook for another 10 minutes."
Tom Yum Soup,Chinese,25,"Pasta, tomato sauce, cheese, ground beef, basil","Chop 2 potatoes, 1 carrot, and 1 onion. Heat 2 tablespoons of oil in a pot. Sauté the onion for 3 minutes. Add the potatoes and carrots, followed by 4 cups of vegetable broth. Season with 1 teaspoon of salt and 1/2 teaspoon of thyme. Simmer for 20 minutes until tender."
Butter Chicken,Mexican,62,"Ground beef, lettuce, cheese, salsa, tortilla chips","Marinate 1 pound of beef with 1 teaspoon of salt, 1/2 teaspoon of black pepper, and 1 tablespoon of soy sauce. Let it sit for 30 minutes. Heat a pan with 2 tablespoons of oil. Sear the beef for 5 minutes on each side. Reduce heat and cook for another 10 minutes, then serve."
Egusi Soup,Middle Eastern,48,"Pasta, tomato sauce, cheese, ground beef, basil","In a blender, combine 2 bananas, 1 cup of milk, 1/2 teaspoon of cinnamon, and 1 tablespoon of honey. Blend until smooth. Serve chilled."
Lasagna,French,14,"Chickpeas, tahini, lemon, garlic, olive oil",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
Borscht,Middle Eastern,33,"Chicken, butter, cream, tomatoes, spices","Bring 6 cups of water to a boil. Add 2 cups of pasta and 1 teaspoon of salt. Cook for 10 minutes, then drain. In a saucepan, melt 2 tablespoons of butter, add 1/2 cup of cream, and 1/2 cup of grated cheese. Stir until smooth. Mix with the pasta and serve warm."
Borscht,Middle Eastern,54,"Flour, butter, sugar, eggs, yeast",Boil 4 cups of water in a pot. Add 1 cup of rice and 1/2 teaspoon of salt. Cover and cook on low heat for 15 minutes. Fluff with a fork and serve.
